x,y,z
-0.025991 ,  -0.133954 ,  1.046642
0.001999 ,  -0.133954 ,  1.045643
0.002999 ,  -0.131955 ,  1.047642
0.024991 ,  -0.126957 ,  1.072633
0.015995 ,  -0.131955 ,  1.058638
0.010996 ,  -0.132955 ,  1.053640
0.011996 ,  -0.139952 ,  1.061637
-0.002999 ,  -0.141952 ,  1.036646
0.002999 ,  -0.133954 ,  1.045643
0.001999 ,  -0.134954 ,  1.043643
0.001000 ,  -0.135954 ,  1.020651
0.005998 ,  -0.136953 ,  1.029648
0.006998 ,  -0.132955 ,  1.032647
0.010996 ,  -0.125957 ,  1.038645
0.006998 ,  -0.127956 ,  1.037646
0.003999 ,  -0.129956 ,  1.044643
0.008997 ,  -0.123958 ,  1.045643
-0.007997 ,  -0.132955 ,  1.043643
0.000000 ,  -0.132955 ,  1.044643
-0.006998 ,  -0.136953 ,  1.014653
0.004998 ,  -0.135954 ,  1.023650
0.004998 ,  -0.133954 ,  1.031647
-0.003999 ,  -0.136953 ,  1.055639
0.002999 ,  -0.136953 ,  1.036646
0.003999 ,  -0.132955 ,  1.039645
0.007997 ,  -0.133954 ,  1.045643
0.008997 ,  -0.123958 ,  1.038645
0.007997 ,  -0.127956 ,  1.043643
0.004998 ,  -0.130955 ,  1.043643
0.013995 ,  -0.126957 ,  1.032647
0.009997 ,  -0.128956 ,  1.039645
0.006998 ,  -0.128956 ,  1.042644
-0.002999 ,  -0.129956 ,  1.066636
0.005998 ,  -0.128956 ,  1.052640
0.006998 ,  -0.129956 ,  1.050641
-0.013995 ,  -0.138953 ,  1.064636
0.001000 ,  -0.134954 ,  1.060638
0.003999 ,  -0.132955 ,  1.050641
0.001000 ,  -0.134954 ,  1.081631
0.009997 ,  -0.133954 ,  1.064636
0.007997 ,  -0.135954 ,  1.057639
0.002999 ,  -0.129956 ,  1.044643
0.009997 ,  -0.129956 ,  1.068635
0.007997 ,  -0.131955 ,  1.056639
0.007997 ,  -0.130955 ,  1.053640
0.011996 ,  -0.133954 ,  1.060638
0.006998 ,  -0.131955 ,  1.054640
0.005998 ,  -0.135954 ,  1.047642
0.019993 ,  -0.125957 ,  1.022651
0.000000 ,  -0.130955 ,  1.033647
0.004998 ,  -0.132955 ,  1.036646
0.006998 ,  -0.129956 ,  1.081631
0.005998 ,  -0.133954 ,  1.068635
0.004998 ,  -0.134954 ,  1.055639
0.013995 ,  -0.137953 ,  1.098625
0.001999 ,  -0.136953 ,  1.068635
0.001000 ,  -0.133954 ,  1.058638
0.007997 ,  -0.127956 ,  1.055639
-0.002999 ,  -0.138953 ,  1.037646
0.003999 ,  -0.135954 ,  1.036646
0.005998 ,  -0.131955 ,  1.040645
0.016994 ,  -0.123958 ,  1.056639
0.008997 ,  -0.132955 ,  1.049641
0.003999 ,  -0.131955 ,  1.046642
0.011996 ,  -0.143951 ,  1.042644
0.001000 ,  -0.139952 ,  1.046642
0.003999 ,  -0.136953 ,  1.041644
0.020993 ,  -0.132955 ,  1.045643
0.012996 ,  -0.131955 ,  1.036646
0.005998 ,  -0.133954 ,  1.041644
-0.010996 ,  -0.134954 ,  1.035646
0.003999 ,  -0.134954 ,  1.054640
0.001000 ,  -0.135954 ,  1.048642
